"Ziekteverzuimpercentage; bedrijfstakken (SBI 2008) en bedrijfsgrootte"
""
""
"Onderwerp";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage"
"Perioden";"2020";"2021 1e kwartaal";"2021 2e kwartaal";"2021 3e kwartaal";"2021 4e kwartaal";"2021 ";"2022 1e kwartaal";"2022 2e kwartaal";"2022 3e kwartaal";"2022 4e kwartaal";"2022";"2023 1e kwartaal*";"2023 2e kwartaal*";"2023 3e kwartaal*";"2023 4e kwartaal*";"2023*"
"Bedrijfskenmerken (SBI 2008)";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%"
"A-U Alle economische activiteiten";"4,7";"4,8";"4,7";"4,6";"5,4";"4,9";"6,3";"5,4";"5,0";"5,6";"5,6";"5,7";"5,0";"4,8";"5,5";"5,3"
"A Landbouw, bosbouw en visserij";"3,4";"3,6";"3,3";"3,5";"3,8";"3,6";"4,2";"4,1";"3,1";"3,3";"3,7";"3,8";"3,4";"3,7";"3,7";"3,6"
"B Delfstoffenwinning";"4,7";"4,4";"4,4";"4,3";"5,0";"4,5";"5,6";"4,1";"4,2";"5,0";"4,7";"5,2";"4,6";"4,3";"5,2";"4,8"
"B-F Nijverheid en energie";"5,5";"5,5";"5,4";"5,1";"6,1";"5,5";"6,9";"5,9";"5,5";"6,1";"6,1";"6,3";"5,3";"5,2";"5,9";"5,7"
"C Industrie";"6,0";"5,8";"5,8";"5,4";"6,5";"5,9";"7,4";"6,3";"5,9";"6,6";"6,5";"6,8";"5,7";"5,5";"6,4";"6,1"
"10-12 Voedings-, genotmiddelenindustrie";"5,6";"5,7";"5,7";"5,4";"6,4";"5,8";"7,7";"6,4";"5,8";"6,5";"6,6";"6,4";"5,4";"5,3";"6,2";"5,8"
"17-18 Papier- en grafische industrie";"5,8";"5,4";"5,4";"5,0";"5,6";"5,4";"7,0";"6,2";"5,9";"6,9";"6,5";"6,6";"5,7";"5,3";"6,7";"6,1"
"19-22 Raffinaderijen en chemie";"5,6";"5,2";"5,4";"5,2";"6,3";"5,5";"7,4";"6,1";"6,2";"6,8";"6,6";"6,5";"5,3";"5,5";"6,6";"6,0"
"24-30, 33 Metaal-elektro industrie";"5,0";"4,9";"4,8";"4,5";"5,7";"5,0";"6,5";"5,3";"4,9";"5,6";"5,6";"5,9";"4,9";"4,8";"5,4";"5,2"
"D Energievoorziening";"4,1";"4,1";"4,0";"3,9";"4,8";"4,2";"5,4";"4,9";"4,8";"4,9";"5,0";"5,4";"4,5";"4,3";"5,1";"4,8"
"E Waterbedrijven en afvalbeheer";"5,9";"5,7";"5,7";"5,5";"6,5";"5,9";"7,4";"6,3";"5,8";"7,1";"6,7";"7,2";"5,5";"5,8";"6,9";"6,3"
"F Bouwnijverheid";"4,6";"4,8";"4,8";"4,8";"5,3";"4,9";"6,0";"5,3";"4,9";"5,2";"5,3";"5,3";"4,6";"4,4";"4,8";"4,8"
"G-N Commerciële dienstverlening";"4,0";"4,1";"4,0";"4,0";"4,5";"4,1";"5,4";"4,6";"4,2";"4,7";"4,7";"4,8";"4,3";"4,1";"4,6";"4,4"
"G Handel";"4,4";"4,6";"4,3";"4,3";"4,9";"4,5";"5,8";"5,0";"4,5";"4,9";"5,0";"5,1";"4,5";"4,1";"4,9";"4,6"
"45 Autohandel en -reparatie";"4,1";"4,3";"3,9";"4,1";"4,5";"4,2";"5,5";"5,0";"4,8";"4,9";"5,0";"5,3";"4,3";"3,7";"4,5";"4,5"
"46 Groothandel en handelsbemiddeling";"4,4";"4,3";"4,2";"4,3";"4,9";"4,4";"5,5";"4,7";"4,4";"4,9";"4,9";"4,9";"4,3";"4,2";"4,9";"4,6"
"47 Detailhandel (niet in auto's)";"4,6";"5,0";"4,5";"4,3";"4,9";"4,6";"6,2";"5,2";"4,4";"4,9";"5,2";"5,2";"4,8";"4,2";"4,9";"4,8"
"H Vervoer en opslag";"5,2";"5,7";"5,5";"5,4";"6,2";"5,7";"7,1";"6,2";"5,8";"6,5";"6,4";"6,8";"6,1";"6,0";"6,6";"6,3"
"49 Vervoer over land";"5,3";"5,8";"5,7";"5,7";"6,4";"5,9";"7,0";"6,6";"5,9";"6,4";"6,5";"7,0";"6,3";"6,4";"6,7";"6,6"
"I Horeca";"3,7";"3,9";"3,4";"4,1";"4,5";"4,0";"6,0";"4,3";"4,1";"4,3";"4,7";"4,3";"3,9";"3,6";"3,9";"3,9"
"J Informatie en communicatie";"3,2";"3,2";"3,3";"3,2";"3,6";"3,3";"4,2";"3,8";"3,7";"3,8";"3,9";"4,2";"3,7";"3,7";"4,1";"3,9"
"K Financiële dienstverlening";"2,7";"2,8";"2,7";"2,8";"3,0";"2,8";"3,4";"3,1";"3,0";"3,4";"3,2";"3,4";"3,1";"3,1";"3,3";"3,3"
"L Verhuur en handel van onroerend goed";"3,2";"3,6";"3,7";"3,9";"4,0";"3,8";"4,7";"4,1";"3,9";"4,6";"4,3";"4,6";"4,1";"3,8";"4,1";"4,2"
"M Specialistische zakelijke diensten";"3,1";"3,2";"3,2";"3,1";"3,6";"3,3";"4,4";"3,8";"3,4";"3,8";"3,8";"4,0";"3,5";"3,2";"3,7";"3,6"
"N Verhuur en overige zakelijke diensten";"4,4";"4,1";"4,1";"4,0";"4,7";"4,2";"5,5";"4,7";"4,4";"5,0";"4,9";"4,9";"4,3";"4,4";"4,8";"4,6"
"812 Schoonmaakbedrijven";"6,6";"6,7";"6,6";"6,0";"7,1";"6,6";"8,5";"7,2";"6,2";"7,0";"7,2";"8,1";"7,3";"6,6";"7,5";"7,4"
"O-U Niet-commerciële dienstverlening";"5,6";"5,7";"5,6";"5,4";"6,4";"5,8";"7,7";"6,5";"6,1";"6,9";"6,8";"7,1";"6,2";"5,8";"6,8";"6,5"
"O Openbaar bestuur en overheidsdiensten";"5,1";"5,0";"5,0";"4,9";"5,7";"5,2";"6,7";"5,7";"5,5";"6,4";"6,1";"6,6";"5,6";"5,5";"6,5";"6,0"
"P Onderwijs";"4,8";"4,6";"4,8";"4,1";"5,4";"4,8";"6,5";"5,6";"4,8";"5,8";"5,7";"6,2";"5,4";"4,8";"5,9";"5,6"
"Q Gezondheids- en welzijnszorg";"6,4";"6,8";"6,5";"6,3";"7,5";"6,8";"8,9";"7,5";"7,1";"8,0";"7,9";"8,1";"7,0";"6,7";"7,7";"7,4"
"86 Gezondheidszorg";"5,3";"5,6";"5,4";"5,3";"6,4";"5,7";"7,8";"6,5";"6,2";"6,9";"6,8";"6,9";"6,0";"5,7";"6,5";"6,3"
"861 Ziekenhuizen";"5,8";"6,2";"5,9";"5,6";"6,8";"6,1";"8,2";"6,9";"6,6";"7,3";"7,2";"7,3";"6,3";"6,0";"7,0";"6,7"
"87 Verpleging en zorg met overnachting";"7,7";"8,2";"7,7";"7,3";"8,8";"8,0";"10,1";"8,6";"8,1";"9,0";"9,0";"9,4";"8,0";"7,7";"8,9";"8,5"
"88 Welzijnszorg zonder overnachting";"6,7";"7,0";"6,8";"6,5";"7,7";"7,0";"9,3";"7,7";"7,4";"8,4";"8,2";"8,6";"7,4";"7,1";"8,2";"7,8"
"R Cultuur, sport en recreatie";"3,9";"4,0";"3,7";"4,1";"4,8";"4,2";"5,6";"5,1";"4,8";"5,2";"5,2";"5,3";"4,5";"4,1";"4,6";"4,6"
"S Overige dienstverlening";"4,4";"4,6";"4,3";"4,8";"5,0";"4,7";"6,7";"5,6";"4,6";"4,7";"5,4";"5,9";"5,0";"4,3";"4,8";"5,0"
"1 tot 10 werkzame personen";"2,8";"3,4";"2,8";"3,2";"3,4";"3,2";"4,3";"3,7";"2,8";"3,1";"3,5";"3,5";"3,0";"2,6";"2,7";"3,0"
"10 tot 100 werkzame personen";"4,4";"4,3";"4,3";"4,2";"4,9";"4,4";"5,7";"4,9";"4,5";"5,0";"5,0";"5,0";"4,5";"4,3";"4,8";"4,7"
"100 of meer werkzame personen";"5,4";"5,4";"5,3";"5,1";"6,1";"5,5";"7,0";"6,0";"5,7";"6,4";"6,3";"6,5";"5,7";"5,5";"6,4";"6,0"
"Bron: CBS"
