"Group","Category","Ziekteverzuim"
"2013","Vierde kwartaal","3,9"
"2014","Eerste kwartaal","4"
"2014","Tweede kwartaal","3,7"
"2014","Derde Kwartaal","3,5"
"2014","Vierde kwartaal","4"
"2015","Eerste kwartaal","4,4"
"2015","Tweede kwartaal","3,7"
"2015","Derde Kwartaal","3,5"
"2015","Vierde kwartaal","3,9"
"2016","Eerste kwartaal","4,3"
"2016","Tweede kwartaal","3,8"
"2016","Derde Kwartaal","3,5"
"2016","Vierde kwartaal","4,1"
"2017","Eerste kwartaal","4,3"
"2017","Tweede kwartaal","3,9"
"2017","Derde Kwartaal","3,7"
"2017","Vierde kwartaal","4,2"
"2018","Eerste kwartaal","4,9"
"2018","Tweede kwartaal","4,1"
"2018","Derde Kwartaal","3,9"
"2018","Vierde kwartaal","4,3"
"2019","Eerste kwartaal","4,7"
"2019","Tweede kwartaal","4,3"
"2019","Derde Kwartaal","4"
"2019","Vierde kwartaal","4,5"
"2020","Eerste kwartaal","5,2"
"2020","Tweede kwartaal","4,5"
"2020","Derde Kwartaal","4,4"
"2020","Vierde kwartaal","4,9"
"2021","Eerste kwartaal","4,8"
"2021","Tweede kwartaal","4,7"
"2021","Derde Kwartaal","4,6"
"2021","Vierde kwartaal","5,4"
"2022","Eerste kwartaal","6,3"
"2022","Tweede kwartaal","5,4"
"2022","Derde Kwartaal","5"
"2022","Vierde kwartaal","5,6"
"2023","Eerste kwartaal","5,7"
"2023","Tweede kwartaal","5"
"2023","Derde Kwartaal","4,8"
"2023","Vierde kwartaal","5,5"