"Group","Category","Onderwijs","Financiële instellingen","Horeca","Nederland (totaal)"
"2013","Vierde kwartaal","4,9","2,9","2,1","3,9"
"2014","Eerste kwartaal","5,3","3","2,1","4"
"2014","Tweede kwartaal","4,9","2,9","2","3,7"
"2014","Derde Kwartaal","4,2","2,7","2","3,5"
"2014","Vierde kwartaal","5,1","3,2","2,2","4"
"2015","Eerste kwartaal","5,6","3,4","2,1","4,4"
"2015","Tweede kwartaal","4,9","2,6","2,1","3,7"
"2015","Derde Kwartaal","4,2","2,5","2","3,5"
"2015","Vierde kwartaal","5","2,9","2","3,9"
"2016","Eerste kwartaal","5,5","3,4","2,2","4,3"
"2016","Tweede kwartaal","4,9","2,7","2,1","3,8"
"2016","Derde Kwartaal","4,1","2,8","2","3,5"
"2016","Vierde kwartaal","5,1","3,1","2,3","4,1"
"2017","Eerste kwartaal","5,4","3,4","2,3","4,3"
"2017","Tweede kwartaal","4,9","2,7","2,2","3,9"
"2017","Derde Kwartaal","4,2","2,5","2,2","3,7"
"2017","Vierde kwartaal","5,1","3,3","2,3","4,2"
"2018","Eerste kwartaal","5,9","3,3","2,3","4,9"
"2018","Tweede kwartaal","5","2,6","2,3","4,1"
"2018","Derde Kwartaal","4,4","2,5","2,3","3,9"
"2018","Vierde kwartaal","5,1","2,9","2,2","4,3"
"2019","Eerste kwartaal","5,5","2,8","2,7","4,7"
"2019","Tweede kwartaal","5,1","2,7","2,6","4,3"
"2019","Derde Kwartaal","4,3","2,5","2,6","4"
"2019","Vierde kwartaal","5,1","2,8","2,8","4,5"
"2020","Eerste kwartaal","5,7","2,9","3","5,2"
"2020","Tweede kwartaal","4,5","2,5","3","4,5"
"2020","Derde Kwartaal","4,2","2,6","4,1","4,4"
"2020","Vierde kwartaal","5","2,8","4,3","4,9"
"2021","Eerste kwartaal","4,6","2,8","3,9","4,8"
"2021","Tweede kwartaal","4,8","2,7","3,4","4,7"
"2021","Derde Kwartaal","4,1","2,8","4,1","4,6"
"2021","Vierde kwartaal","5,4","3","4,5","5,4"
"2022","Eerste kwartaal","6,5","3,4","6","6,3"
"2022","Tweede kwartaal","5,6","3,1","4,3","5,4"
"2022","Derde Kwartaal","4,8","3","4,1","5"
"2022","Vierde kwartaal","5,8","3,4","4,3","5,6"
"2023","Eerste kwartaal","6,2","3,4","4,3","5,7"
"2023","Tweede kwartaal","5,4","3,1","3,9","5"
"2023","Derde Kwartaal","4,8","3,1","3,6","4,8"
"2023","Vierde kwartaal","5,9","3,3","3,9","5,5"